date,H&M,Inditex,LVMH,Tapestry
2020-06-01,1.049261994258898e-16,0.43152933869288734,0.0,0.5684706613071127
2020-07-01,1.0909375067771041e-16,0.41962886122666226,0.0,0.5803711387733377
2020-08-01,1.0365762390312803e-16,0.4109087116776478,0.0,0.5890912883223521
2020-09-01,9.373072900450673e-17,0.402948669442809,0.0,0.5970513305571908
2020-10-01,8.556705256841411e-17,0.38873579760614757,0.0,0.6112642023938524
2020-11-01,9.521777620672362e-17,0.38873579760614757,0.0,0.6112642023938524
2020-12-01,1.0432346417816893e-16,0.30803876706714106,0.0,0.6919612329328588
2021-01-01,8.5905806849744e-17,0.402948669442809,0.0,0.5970513305571908
2021-02-01,8.038960677136273e-17,0.402948669442809,0.0,0.5970513305571908
2021-03-01,7.532114074820558e-17,0.402948669442809,0.0,0.5970513305571908
2021-04-01,7.0721568168744e-17,0.402948669442809,0.0,0.5970513305571908
2021-05-01,8.237029114580749e-17,0.402948669442809,0.0,0.5970513305571908
2021-06-01,7.836173227646124e-17,0.38873579760614757,0.0,0.6112642023938524
2021-07-01,1.2181904099446833e-16,0.30803876706714106,0.0,0.6919612329328588
2021-08-01,1.2843802650328582e-16,0.3389749106399646,0.0,0.6610250893600352
2021-09-01,8.486860928280588e-17,0.4109087116776478,0.0,0.5890912883223521
2021-10-01,8.3619196145129e-17,0.4109087116776478,0.0,0.5890912883223521
2021-11-01,9.86784832170589e-17,0.4109087116776478,0.0,0.5890912883223521
2021-12-01,9.859234878454005e-17,0.3543689597878335,0.0,0.6456310402121663
2022-01-01,8.88142875497353e-17,0.4109087116776478,0.0,0.5890912883223521
2022-02-01,9.554482845112337e-17,0.3389749106399646,0.0,0.6610250893600352
2022-03-01,1.1190956545694004e-16,0.3543689597878335,0.0,0.6456310402121663
2022-04-01,1.2029317467561564e-16,0.3648284605885863,0.0,0.6351715394114136
2022-05-01,8.186359014319514e-17,0.3738297466464447,0.0,0.6261702533535554
2022-06-01,7.857237897142663e-17,0.3738297466464447,0.0,0.6261702533535554
2022-07-01,9.215718466126788e-17,0.38873579760614757,0.0,0.6112642023938524
2022-08-01,1.0324070429194325e-16,0.38873579760614757,0.0,0.6112642023938524
2022-09-01,9.585169120482632e-17,0.38873579760614757,0.0,0.6112642023938524
2022-10-01,8.433112488201461e-17,0.38873579760614757,0.0,0.6112642023938524
2022-11-01,1.1062971737906017e-16,0.38873579760614757,0.0,0.6112642023938524
2022-12-01,1.1348742813573092e-16,0.38873579760614757,0.0,0.6112642023938524
2023-01-01,9.215718466126788e-17,0.38873579760614757,0.0,0.6112642023938524
2023-02-01,7.742120132094398e-17,0.38873579760614757,0.0,0.6112642023938524
2023-03-01,9.412796357338309e-17,0.38873579760614757,0.0,0.6112642023938524
2023-04-01,7.639095336434635e-17,0.38873579760614757,0.0,0.6112642023938524
2023-05-01,7.238678838270661e-17,0.38873579760614757,0.0,0.6112642023938524
2023-06-01,7.670195494744808e-17,0.38873579760614757,0.0,0.6112642023938524
2023-07-01,9.521777620672365e-17,0.38873579760614757,0.0,0.6112642023938524
2023-08-01,1.0004030030972876e-16,0.38873579760614757,0.0,0.6112642023938524
2023-09-01,1.0453127166480544e-16,0.38873579760614757,0.0,0.6112642023938524
2023-10-01,9.090153307964372e-17,0.38873579760614757,0.0,0.6112642023938524
2023-11-01,1.166419170249138e-16,0.38873579760614757,0.0,0.6112642023938524
2023-12-01,1.0350468081388068e-16,0.38873579760614757,0.0,0.6112642023938524
2024-01-01,8.255545714751855e-17,0.38873579760614757,0.0,0.6112642023938524
2024-02-01,7.476428888194627e-17,0.38873579760614757,0.0,0.6112642023938524
2024-03-01,8.476904379431417e-17,0.38873579760614757,0.0,0.6112642023938524
2024-04-01,8.476904379431417e-17,0.38873579760614757,0.0,0.6112642023938524
2024-05-01,7.644974227774238e-17,0.38873579760614757,0.0,0.6112642023938524
2024-06-01,8.323410362560625e-17,0.38873579760614757,0.0,0.6112642023938524
2024-07-01,1.0429079210331695e-16,0.38873579760614757,0.0,0.6112642023938524
2024-08-01,1.1614257507987676e-16,0.38873579760614757,0.0,0.6112642023938524
2024-09-01,1.0856039583402091e-16,0.38873579760614757,0.0,0.6112642023938524
2024-10-01,1.0420613252528794e-16,0.38873579760614757,0.0,0.6112642023938524
2024-11-01,1.1539820459215175e-16,0.38873579760614757,0.0,0.6112642023938524
2024-12-01,1.1285650636505828e-16,0.38873579760614757,0.0,0.6112642023938524
2025-01-01,8.584761355187473e-17,0.38873579760614757,0.0,0.6112642023938524
2025-02-01,8.269282799717816e-17,0.38873579760614757,0.0,0.6112642023938524
2025-03-01,8.774702636201342e-17,0.38873579760614757,0.0,0.6112642023938524
2025-04-01,8.629889495671332e-17,0.38873579760614757,0.0,0.6112642023938524
2025-05-01,8.587892675314722e-17,0.38873579760614757,0.0,0.6112642023938524
2025-06-01,8.90965931158126e-17,0.38873579760614757,0.0,0.6112642023938524
2025-07-01,1.1940193995639623e-16,0.38873579760614757,0.0,0.6112642023938524
2025-08-01,1.1980434005964824e-16,0.38873579760614757,0.0,0.6112642023938524
2025-09-01,1.137114816016533e-16,0.38873579760614757,0.0,0.6112642023938524
2025-10-01,9.99929888747032e-17,0.38873579760614757,0.0,0.6112642023938524
2025-11-01,1.0173563760967682e-16,0.38873579760614757,0.0,0.6112642023938524
2025-12-01,1.0263054904773226e-16,0.38873579760614757,0.0,0.6112642023938524
